날짜,측정소명,미세먼지PM-10(㎍/㎥),초미세먼지PM-25(㎍/㎥),오존O3(ppm),이산화질소NO2(ppm),일산화탄소CO(ppm),아황산가스SO2(ppm)
2016-03-12,은평구,41,18,0.027,0.04,0.4,0.007
2016-03-13,은평구,60,33,0.03,0.042,0.5,0.007
2016-03-14,은평구,65,38,0.04,0.037,0.5,0.006
2016-03-15,은평구,55,24,0.035,0.043,0.5,0.008
2016-03-16,은평구,60,27,0.029,0.049,0.5,0.008
2016-03-17,은평구,65,30,0.019,0.062,0.6,0.008
2016-03-18,은평구,54,28,0.031,0.05,0.6,0.007
2016-03-19,은평구,76,38,0.036,0.04,0.5,0.007
2016-03-20,은평구,81,41,0.031,0.043,0.7,0.008
2016-03-21,은평구,88,45,0.033,0.048,0.7,0.008
2016-03-22,은평구,75,46,0.03,0.051,0.6,0.007
2016-03-23,은평구,79,41,0.037,0.037,0.5,0.006
2016-03-24,은평구,44,23,0.036,0.035,0.4,0.006
2016-03-25,은평구,71,34,0.029,0.045,0.5,0.007
2016-03-26,은평구,67,39,0.026,0.049,0.6,0.007
2016-03-27,은평구,67,38,0.041,0.04,0.5,0.008
2016-03-28,은평구,64,34,0.029,0.054,0.6,0.008
2016-03-29,은평구,99,47,0.061,0.039,0.6,0.008
2016-03-30,은평구,90,39,0.038,0.043,0.5,0.007
2016-03-31,은평구,49,18,0.024,0.057,0.5,0.007
2016-04-01,은평구,66,24,0.033,0.059,0.6,0.008
2016-04-02,은평구,79,38,0.046,0.051,0.6,0.008
2016-04-03,은평구,47,28,0.031,0.033,0.5,0.006
2016-04-04,은평구,31,13,0.026,0.039,0.4,0.006
2016-04-05,은평구,61,21,0.027,0.05,0.5,0.008
2016-04-06,은평구,73,31,0.029,0.056,0.6,0.008
2016-04-07,은평구,40,22,0.042,0.036,0.5,0.006
2016-04-08,은평구,77,37,0.033,0.043,0.5,0.007
2016-04-09,은평구,113,45,0.021,0.046,0.7,0.007
2016-04-10,은평구,123,55,0.041,0.036,0.8,0.007
2016-04-11,은평구,48,20,0.031,0.04,0.3,0.006
2016-04-12,은평구,57,24,0.033,0.043,0.4,0.007
2016-04-13,은평구,56,28,0.028,0.044,0.5,0.006
2016-04-14,은평구,55,27,0.021,0.044,0.5,0.006
2016-04-15,은평구,54,26,0.035,0.044,0.5,0.006
2016-04-16,은평구,46,21,0.037,0.039,0.4,0.006
2016-04-17,은평구,49,16,0.045,0.028,0.4,0.006
2016-04-18,은평구,60,22,0.037,0.037,0.4,0.006
2016-04-19,은평구,44,18,0.036,0.036,0.4,0.006
2016-04-20,은평구,60,27,0.026,0.047,0.5,0.007
2016-04-21,은평구,28,16,0.037,0.032,0.4,0.006
2016-04-22,은평구,81,40,0.031,0.041,0.6,0.006
2016-04-23,은평구,192,33,0.028,0.039,0.4,0.006
2016-04-24,은평구,123,20,0.036,0.035,0.3,0.006
2016-04-25,은평구,74,21,0.03,0.051,0.5,0.006
2016-04-26,은평구,78,27,0.039,0.044,0.5,0.006
2016-04-27,은평구,51,17,0.05,0.029,0.3,0.006
2016-04-28,은평구,58,19,0.033,0.044,0.4,0.006
2016-04-29,은평구,65,26,0.041,0.044,0.4,0.007
2016-04-30,은평구,71,33,0.06,0.038,0.5,0.008
2016-05-01,은평구,44,19,0.059,0.031,0.4,0.007
2016-05-02,은평구,50,24,0.035,0.032,0.4,0.006
2016-05-03,은평구,20,9,0.033,0.025,0.3,0.006
2016-05-04,은평구,50,13,0.043,0.029,0.3,0.006
2016-05-05,은평구,54,19,0.026,0.041,0.5,0.006
2016-05-06,은평구,43,18,0.024,0.036,0.5,0.005
2016-05-07,은평구,108,18,0.026,0.036,0.4,0.006
2016-05-08,은평구,50,17,0.036,0.036,0.4,0.006
2016-05-09,은평구,60,20,0.042,0.036,0.4,0.006
2016-05-10,은평구,32,14,0.034,0.031,0.3,0.005
2016-05-11,은평구,29,12,0.031,0.034,0.3,0.006
2016-05-12,은평구,30,15,0.034,0.04,0.4,0.006
2016-05-13,은평구,41,22,0.043,0.034,0.4,0.006
2016-05-14,은평구,34,18,0.042,0.037,0.4,0.006
2016-05-15,은평구,30,17,0.039,0.029,0.4,0.006
2016-05-16,은평구,19,9,0.039,0.034,0.4,0.006
2016-05-17,은평구,59,28,0.041,0.046,0.5,0.007
2016-05-18,은평구,41,20,0.039,0.045,0.3,0.006
2016-05-19,은평구,38,19,0.04,0.043,0.3,0.005
2016-05-20,은평구,54,25,0.043,0.052,0.3,0.006
2016-05-21,은평구,38,24,0.051,0.04,0.2,0.004
2016-05-22,은평구,57,37,0.062,0.04,0.3,0.005
2016-05-23,은평구,69,39,0.056,0.044,0.4,0.006
2016-05-24,은평구,35,22,0.04,0.038,0.3,0.005
2016-05-25,은평구,92,55,0.055,0.037,0.4,0.005
2016-05-26,은평구,99,58,0.034,0.058,0.5,0.006
2016-05-27,은평구,78,40,0.036,0.043,0.4,0.005
2016-05-28,은평구,77,34,0.037,0.035,0.4,0.006
2016-05-29,은평구,84,39,0.045,0.029,0.4,0.006
2016-05-30,은평구,93,46,0.054,0.027,0.5,0.005
2016-05-31,은평구,79,39,0.037,0.026,0.4,0.006
2016-06-01,은평구,43,21,0.039,0.028,0.2,0.005
2016-06-02,은평구,39,18,0.04,0.033,0.3,0.005
2016-06-03,은평구,47,23,0.039,0.031,0.4,0.006
2016-06-04,은평구,50,24,0.039,0.03,0.4,0.005
2016-06-05,은평구,50,25,0.046,0.027,0.4,0.005
2016-06-06,은평구,25,12,0.041,0.027,0.3,0.005
2016-06-07,은평구,36,19,0.029,0.034,0.3,0.005
2016-06-08,은평구,38,21,0.028,0.032,0.2,0.005
2016-06-09,은평구,56,25,0.03,0.031,0.3,0.005
2016-06-10,은평구,60,30,0.037,0.036,0.3,0.005
2016-06-11,은평구,55,25,0.025,0.028,0.3,0.005
2016-06-12,은평구,33,18,0.025,0.02,0.2,0.005
2016-06-13,은평구,65,30,0.035,0.025,0.3,0.005
2016-06-14,은평구,53,27,0.033,0.035,0.3,0.005
2016-06-15,은평구,34,21,0.031,0.022,0.2,0.005
2016-06-16,은평구,31,20,0.044,0.024,0.3,0.005
2016-06-17,은평구,55,34,0.051,0.029,0.4,0.005
2016-06-18,은평구,66,39,0.049,0.03,0.4,0.005
2016-06-19,은평구,35,23,0.036,0.023,0.3,0.005
2016-06-20,은평구,53,32,0.041,0.031,0.3,0.005
2016-06-21,은평구,62,38,0.051,0.037,0.4,0.004
2016-06-22,은평구,70,41,0.039,0.035,0.5,0.004
2016-06-23,은평구,47,27,0.037,0.03,0.4,0.005
2016-06-24,은평구,41,23,0.033,0.029,0.4,0.004
2016-06-25,은평구,33,15,0.041,0.025,0.3,0.005
2016-06-26,은평구,30,16,0.042,0.024,0.3,0.005
2016-06-27,은평구,42,21,0.034,0.037,0.4,0.006
2016-06-28,은평구,64,37,0.036,0.036,0.5,0.005
2016-06-29,은평구,39,23,0.035,0.033,0.4,0.005
2016-06-30,은평구,32,17,0.025,0.026,0.4,0.005
2016-07-01,은평구,26,14,0.018,0.023,0.2,0.004
2016-07-02,은평구,,,,,,
2016-07-03,은평구,,,,,,
2016-07-04,은평구,4,13,0.034,0.013,0.2,0.004
2016-07-05,은평구,13,9,0.013,0.017,0.2,0.004
2016-07-06,은평구,21,9,0.02,0.023,0.2,0.004
2016-07-07,은평구,39,22,0.021,0.031,0.3,0.005
2016-07-08,은평구,54,31,0.031,0.028,0.4,0.004
2016-07-09,은평구,36,20,0.023,0.023,0.3,0.004
2016-07-10,은평구,36,21,0.027,0.024,0.2,0.004
2016-07-11,은평구,57,34,0.027,0.034,0.4,0.004
2016-07-12,은평구,35,23,0.024,0.028,0.3,0.005
2016-07-13,은평구,31,16,0.016,0.023,0.3,0.004
2016-07-14,은평구,28,15,0.026,0.024,0.3,0.004
2016-07-15,은평구,18,9,0.028,0.02,0.2,0.004
2016-07-16,은평구,8,5,0.026,0.012,0.2,0.004
2016-07-17,은평구,13,8,0.024,0.017,0.3,0.004
2016-07-18,은평구,28,13,0.02,0.022,0.3,0.004
2016-07-19,은평구,35,19,0.036,0.024,0.3,0.004
2016-07-20,은평구,36,21,0.042,0.023,0.4,0.004
2016-07-21,은평구,32,18,0.035,0.024,0.3,0.004
2016-07-22,은평구,36,19,0.037,0.023,0.3,0.004
2016-07-23,은평구,41,24,0.023,0.023,0.3,0.004
2016-07-24,은평구,35,20,0.012,0.02,0.3,0.004
2016-07-25,은평구,46,24,0.014,0.023,0.3,0.004
2016-07-26,은평구,35,18,0.011,0.022,0.3,0.004
2016-07-27,은평구,33,20,0.014,0.021,0.4,0.004
2016-07-28,은평구,53,38,0.036,0.022,0.5,0.004
2016-07-29,은평구,38,25,0.021,0.025,0.5,0.004
2016-07-30,은평구,40,28,0.023,0.026,0.3,0.004
2016-07-31,은평구,35,24,0.015,0.018,0.4,0.004
2016-08-01,은평구,28,18,0.014,0.016,0.2,0.004
2016-08-02,은평구,24,15,0.015,0.019,0.3,0.004
2016-08-03,은평구,29,18,0.026,0.024,0.3,0.004
2016-08-04,은평구,33,16,0.023,0.023,0.3,0.004
2016-08-05,은평구,41,24,0.033,0.027,0.4,0.004
2016-08-06,은평구,56,35,0.043,0.027,0.5,0.003
2016-08-07,은평구,38,24,0.032,0.022,0.4,0.004
2016-08-08,은평구,41,26,0.027,0.02,0.4,0.004
2016-08-09,은평구,32,21,0.034,0.023,0.3,0.004
2016-08-10,은평구,44,30,0.025,0.021,0.5,0.003
2016-08-11,은평구,20,12,0.017,0.02,0.1,0.005
2016-08-12,은평구,33,24,0.018,0.02,0.2,0.004
2016-08-13,은평구,29,21,0.006,0.017,0.3,0.004
2016-08-14,은평구,29,23,0.011,0.011,0.3,0.004
2016-08-15,은평구,33,20,0.02,0.015,0.4,0.004
2016-08-16,은평구,40,25,0.024,0.024,0.5,0.004
2016-08-17,은평구,35,22,0.025,0.023,0.4,0.004
2016-08-18,은평구,46,32,0.034,0.03,0.5,0.004
2016-08-19,은평구,51,37,0.035,0.033,0.5,0.004
2016-08-20,은평구,27,20,0.028,0.026,0.3,0.004
2016-08-21,은평구,24,18,0.034,0.02,0.3,0.004
2016-08-22,은평구,25,16,0.027,0.021,0.3,0.004
2016-08-23,은평구,26,17,0.022,0.024,0.3,0.004
2016-08-24,은평구,30,19,0.02,0.028,0.3,0.004
2016-08-25,은평구,23,14,0.018,0.023,0.4,0.004
2016-08-26,은평구,13,6,0.025,0.015,0.2,0.004
2016-08-27,은평구,13,6,0.023,0.018,0.2,0.004
2016-08-28,은평구,9,4,0.021,0.014,0.2,0.004
2016-08-29,은평구,16,8,0.018,0.021,0.2,0.005
2016-08-30,은평구,30,9,0.017,0.024,0.3,0.004
2016-08-31,은평구,18,8,0.015,0.021,0.3,0.004
2016-09-01,은평구,64,36,0.038,0.026,0.5,0.004
2016-09-02,은평구,34,25,0.038,0.018,0.3,0.004
2016-09-03,은평구,22,14,0.026,0.023,0.3,0.004
2016-09-04,은평구,23,14,0.017,0.02,0.4,0.004
2016-09-05,은평구,32,19,0.016,0.024,0.4,0.004
2016-09-06,은평구,62,39,0.022,0.031,0.4,0.005
2016-09-07,은평구,73,51,0.028,0.026,0.5,0.004
2016-09-08,은평구,49,32,0.014,0.03,0.5,0.004
2016-09-09,은평구,43,28,0.024,0.028,0.4,0.004
2016-09-10,은평구,38,24,0.022,0.029,0.4,0.004
2016-09-11,은평구,40,31,0.034,0.023,0.4,0.004
2016-09-12,은평구,30,20,0.016,0.022,0.3,0.004
2016-09-13,은평구,23,10,0.019,0.024,0.3,0.004
2016-09-14,은평구,32,21,0.027,0.025,0.4,0.004
2016-09-15,은평구,40,28,0.024,0.023,0.4,0.004
2016-09-16,은평구,51,36,0.028,0.025,0.4,0.005
2016-09-17,은평구,31,22,0.028,0.017,0.3,0.004
2016-09-18,은평구,22,13,0.033,0.011,0.2,0.004
2016-09-19,은평구,12,7,0.026,0.014,0.3,0.004
2016-09-20,은평구,18,9,0.027,0.016,0.2,0.004
2016-09-21,은평구,34,23,0.024,0.027,0.4,0.004
2016-09-22,은평구,39,27,0.028,0.027,0.4,0.004
2016-09-23,은평구,53,36,0.03,0.035,0.5,0.005
2016-09-24,은평구,63,44,0.039,0.038,0.6,0.005
2016-09-25,은평구,45,32,0.03,0.029,0.4,0.004
2016-09-26,은평구,43,27,0.019,0.037,0.5,0.005
2016-09-27,은평구,35,23,0.012,0.028,0.5,0.004
2016-09-28,은평구,34,21,0.013,0.023,0.4,0.005
2016-09-29,은평구,18,8,0.014,0.017,0.3,0.004
2016-09-30,은평구,30,14,0.013,0.029,0.4,0.004
2016-10-01,은평구,46,27,0.012,0.036,0.5,0.005
2016-10-02,은평구,27,18,0.016,0.021,0.4,0.005
2016-10-03,은평구,18,8,0.017,0.019,0.4,0.004
2016-10-04,은평구,29,13,0.023,0.019,0.3,0.004
2016-10-05,은평구,32,14,0.026,0.021,0.4,0.004
2016-10-06,은평구,39,18,0.023,0.021,0.4,0.005
2016-10-07,은평구,25,11,0.021,0.023,0.3,0.005
2016-10-08,은평구,22,12,0.026,0.019,0.4,0.005
2016-10-09,은평구,18,11,0.026,0.014,0.3,0.004
2016-10-10,은평구,29,13,0.017,0.029,0.4,0.005
2016-10-11,은평구,41,21,0.016,0.038,0.6,0.005
2016-10-12,은평구,55,31,0.018,0.027,0.6,0.005
2016-10-13,은평구,40,18,0.016,0.032,0.5,0.005
2016-10-14,은평구,73,40,0.012,0.044,0.7,0.005
2016-10-15,은평구,85,49,0.015,0.043,0.7,0.004
2016-10-16,은평구,56,35,0.017,0.03,0.6,0.004
2016-10-17,은평구,54,32,0.019,0.027,0.6,0.004
2016-10-18,은평구,57,28,0.012,0.033,0.6,0.004
2016-10-19,은평구,66,35,0.02,0.042,0.6,0.005
2016-10-20,은평구,63,32,0.024,0.032,0.6,0.004
2016-10-21,은평구,26,11,0.025,0.018,0.4,0.004
2016-10-22,은평구,31,15,0.025,0.02,0.4,0.004
2016-10-23,은평구,10,6,0.027,0.011,0.3,0.004
2016-10-24,은평구,17,7,0.016,0.025,0.3,0.004
2016-10-25,은평구,16,10,0.013,0.022,0.4,0.004
2016-10-26,은평구,43,23,0.008,0.026,0.7,0.004
2016-10-27,은평구,41,23,0.01,0.026,0.6,0.004
2016-10-28,은평구,39,19,0.015,0.025,0.4,0.004
2016-10-29,은평구,38,18,0.019,0.019,0.3,0.005
2016-10-30,은평구,26,13,0.013,0.024,0.4,0.005
2016-10-31,은평구,32,13,0.007,0.029,0.5,0.005
2016-11-01,은평구,25,12,0.017,0.019,0.4,0.005
2016-11-02,은평구,33,15,0.008,0.031,0.5,0.005
2016-11-03,은평구,42,23,0.01,0.034,0.7,0.006
2016-11-04,은평구,64,18,0.021,0.034,0.6,0.006
2016-11-05,은평구,81,62,0.03,0.03,0.7,0.005
2016-11-06,은평구,30,18,0.023,0.015,0.4,0.004
2016-11-07,은평구,37,26,0.016,0.024,0.5,0.005
2016-11-08,은평구,69,55,0.019,0.019,0.5,0.004
2016-11-09,은평구,40,27,0.014,0.022,0.5,0.005
2016-11-10,은평구,36,23,0.005,0.034,0.5,0.004
2016-11-11,은평구,44,18,0.015,0.03,0.5,0.005
2016-11-12,은평구,80,32,0.021,0.029,0.6,0.005
2016-11-13,은평구,60,28,0.022,0.023,0.6,0.005
2016-11-14,은평구,51,28,0.015,0.028,0.6,0.005
2016-11-15,은평구,63,25,0.017,0.021,0.4,0.005
2016-11-16,은평구,50,24,0.006,0.032,0.5,0.005
2016-11-17,은평구,68,34,0.006,0.036,0.7,0.005
2016-11-18,은평구,83,39,0.011,0.039,0.9,0.006
2016-11-19,은평구,44,25,0.015,0.032,0.7,0.005
2016-11-20,은평구,45,26,0.018,0.021,0.6,0.005
2016-11-21,은평구,60,27,0.008,0.035,0.7,0.005
2016-11-22,은평구,45,20,0.017,0.019,0.5,0.005
2016-11-23,은평구,41,17,0.013,0.018,0.4,0.006
2016-11-24,은평구,31,11,0.012,0.023,0.4,0.006
2016-11-25,은평구,35,17,0.006,0.034,0.6,0.006
2016-11-26,은평구,46,29,0.006,0.033,0.6,0.005
2016-11-27,은평구,71,40,0.003,0.034,0.7,0.005
2016-11-28,은평구,83,39,0.009,0.028,0.7,0.005
2016-11-29,은평구,39,20,0.006,0.032,0.6,0.006
2016-11-30,은평구,42,23,0.003,0.037,0.6,0.007
2016-12-01,은평구,55,31,0.016,0.025,0.6,0.006
2016-12-02,은평구,38,15,0.011,0.028,0.5,0.006
2016-12-03,은평구,50,27,0.007,0.039,0.7,0.006
2016-12-04,은평구,67,39,0.005,0.048,0.9,0.007
2016-12-05,은평구,76,45,0.013,0.035,0.7,0.007
2016-12-06,은평구,28,13,0.011,0.023,0.4,0.006
2016-12-07,은평구,52,21,0.004,0.04,0.6,0.007
2016-12-08,은평구,53,29,0.002,0.04,0.7,0.006
2016-12-09,은평구,24,17,,0.025,0.4,0.005
2016-12-10,은평구,34,21,,0.025,0.5,0.005
2016-12-11,은평구,34,21,,0.032,0.6,0.005
2016-12-12,은평구,44,28,,0.038,0.7,0.006
2016-12-13,은평구,57,38,0.006,0.036,0.7,0.006
2016-12-14,은평구,58,35,0.005,0.025,0.6,0.007
2016-12-15,은평구,39,19,0.009,0.02,0.5,0.006
2016-12-16,은평구,35,17,0.005,0.029,0.5,0.006
2016-12-17,은평구,59,34,0.01,0.044,0.7,0.008
2016-12-18,은평구,38,26,0.013,0.038,0.6,0.006
2016-12-19,은평구,28,19,0.011,0.025,0.5,0.005
2016-12-20,은평구,43,27,0.009,0.034,0.8,0.005
2016-12-21,은평구,33,20,0.008,0.026,0.6,0.005
2016-12-22,은평구,58,42,0.006,0.023,0.7,0.005
2016-12-23,은평구,54,35,0.005,0.016,0.6,0.005
2016-12-24,은평구,70,53,0.003,0.02,0.6,0.005
2016-12-25,은평구,54,38,0.007,0.027,0.7,0.005
2016-12-26,은평구,54,34,0.006,0.03,0.9,0.005
2016-12-27,은평구,46,29,0.004,0.019,0.6,0.006
2016-12-28,은평구,45,24,0.008,0.029,0.6,0.006
2016-12-29,은평구,37,18,,0.023,0.5,0.006
2016-12-30,은평구,38,21,,0.032,0.6,0.006
2016-12-31,은평구,51,33,,0.038,0.8,0.007
2017-01-01,은평구,70,46,0.005,0.042,0.7,0.006
2017-01-02,은평구,110,79,0.021,0.038,0.7,0.007
2017-01-03,은평구,74,47,0.016,0.043,0.4,0.005
2017-01-04,은평구,49,30,0.007,0.036,0.6,0.005
2017-01-05,은평구,32,20,0.009,0.014,0.6,0.004
2017-01-06,은평구,18,10,0.01,0.021,0.4,0.003
2017-01-07,은평구,38,26,0.006,0.033,0.6,0.003
2017-01-08,은평구,31,20,0.01,0.026,0.6,0.004
2017-01-09,은평구,64,48,0.016,0.016,0.7,0.004
2017-01-10,은평구,33,16,0.014,0.013,0.5,0.003
2017-01-11,은평구,26,13,0.01,0.018,0.7,0.002
2017-01-12,은평구,30,17,0.012,0.018,0.8,0.003
2017-01-13,은평구,32,13,0.014,0.011,0.7,0.002
2017-01-14,은평구,48,13,0.014,0.007,0.9,0.002
2017-01-15,은평구,28,15,0.01,0.012,1,0.002
2017-01-16,은평구,42,22,0.005,0.033,1.1,0.003
2017-01-17,은평구,60,36,0.004,0.054,1.1,0.007
2017-01-18,은평구,99,69,0.007,0.044,1,0.007
2017-01-19,은평구,97,64,0.01,0.044,0.9,0.006
2017-01-20,은평구,62,37,0.025,0.021,0.6,0.006
2017-01-21,은평구,46,28,0.011,0.034,0.6,0.005
2017-01-22,은평구,86,29,0.032,0.011,0.5,0.006
2017-01-23,은평구,55,35,0.028,0.017,0.6,0.005
2017-01-24,은평구,36,25,0.019,0.026,0.7,0.004
2017-01-25,은평구,49,31,0.012,0.037,0.9,0.004
2017-01-26,은평구,61,40,0.014,0.043,1,0.006
2017-01-27,은평구,117,21,0.031,0.01,0.6,0.004
2017-01-28,은평구,31,12,0.013,0.028,0.8,0.004
2017-01-29,은평구,26,14,0.01,0.029,0.9,0.004
2017-01-30,은평구,53,33,0.031,0.011,0.8,0.005
2017-01-31,은평구,25,15,0.019,0.023,0.8,0.004
2017-02-01,은평구,34,19,0.023,0.023,0.8,0.004
2017-02-02,은평구,33,18,0.023,0.026,0.9,0.004
2017-02-03,은평구,69,42,0.023,0.039,1.1,0.006
2017-02-04,은평구,67,44,0.01,0.047,1.2,0.005
2017-02-05,은평구,64,46,0.019,0.031,1.3,0.005
2017-02-06,은평구,45,27,0.032,0.018,0.8,0.005
2017-02-07,은평구,37,22,0.012,0.037,0.7,0.005
2017-02-08,은평구,51,26,0.012,0.039,0.8,0.005
2017-02-09,은평구,53,20,0.03,0.016,0.6,0.004
2017-02-10,은평구,34,18,0.032,0.013,0.6,0.003
2017-02-11,은평구,31,17,0.028,0.018,0.6,0.004
2017-02-12,은평구,30,17,0.025,0.024,0.7,0.004
2017-02-13,은평구,38,24,0.01,0.047,0.9,0.005
2017-02-14,은평구,51,30,0.029,0.029,0.8,0.006
2017-02-15,은평구,56,34,0.009,0.057,1.2,0.007
2017-02-16,은평구,56,33,0.016,0.053,1.3,0.007
2017-02-17,은평구,46,17,0.036,0.015,0.8,0.004
2017-02-18,은평구,32,17,0.033,0.019,0.8,0.004
2017-02-19,은평구,40,22,0.027,0.028,1,0.004
2017-02-20,은평구,46,20,0.036,0.014,0.7,0.004
2017-02-21,은평구,41,25,0.014,0.026,0.6,0.004
2017-02-22,은평구,39,21,0.017,0.027,0.5,0.004
2017-02-23,은평구,27,16,0.04,0.016,0.3,0.004
2017-02-24,은평구,29,17,0.028,0.025,0.4,0.004
2017-02-25,은평구,43,26,0.018,0.036,0.6,0.005
2017-02-26,은평구,39,25,0.025,0.024,0.5,0.004
2017-02-27,은평구,32,20,0.021,0.032,0.5,0.004
2017-02-28,은평구,34,22,0.018,0.042,0.6,0.005
2017-03-01,은평구,48,33,0.03,0.035,0.6,0.005
2017-03-02,은평구,32,19,0.037,0.016,0.5,0.004
2017-03-03,은평구,37,20,0.023,0.032,0.5,0.004
2017-03-04,은평구,44,27,0.019,0.04,0.7,0.005
2017-03-05,은평구,59,39,0.037,0.023,0.6,0.004
2017-03-06,은평구,37,24,0.038,0.013,0.5,0.004
2017-03-07,은평구,34,20,0.039,0.013,0.5,0.003
2017-03-08,은평구,42,19,0.034,0.018,0.5,0.003
2017-03-09,은평구,46,20,0.033,0.023,0.5,0.004
2017-03-10,은평구,41,24,0.028,0.03,0.6,0.004
2017-03-11,은평구,52,33,0.028,0.041,0.7,0.005
2017-03-12,은평구,80,57,0.034,0.041,0.9,0.006
2017-03-13,은평구,67,44,0.04,0.019,0.7,0.004
2017-03-14,은평구,55,33,0.03,0.019,0.7,0.004
2017-03-15,은평구,58,30,0.023,0.034,0.4,0.003
2017-03-16,은평구,66,36,0.03,0.037,0.5,0.004
2017-03-17,은평구,76,45,0.022,0.042,0.6,0.004
2017-03-18,은평구,73,40,0.026,0.048,0.7,0.006
2017-03-19,은평구,74,45,0.028,0.035,0.7,0.004
2017-03-20,은평구,95,55,0.016,0.048,0.7,0.005
2017-03-21,은평구,103,57,0.027,0.027,0.6,0.004
2017-03-22,은평구,52,25,0.028,0.027,0.5,0.003
